value,code
"1,646",AK
"5,387",AL
"3,255",AR
"12,488",AZ
"136,531",CA
"14,747",CO
"4,627",CT
"6,044",DC
933,DE
"50,158",FL
"19,095",GA
725,GU
"6,061",HI
"3,346",IA
"1,464",ID
"14,724",IL
"7,395",IN
"1,738",KS
"8,137",KY
"5,481",LA
"14,506",MA
"9,219",MD
"2,632",ME
"28,248",MI
"7,644",MN
"7,687",MO
"1,961",MS
"1,417",MT
"12,411",NC
615,ND
"3,985",NE
"2,019",NH
"13,832",NJ
"3,015",NM
"12,610",NV
"61,125",NY
"12,912",OH
"3,846",OK
"20,653",OR
"15,378",PA
"3,012",PR
"1,196",RI
"5,660",SC
579,SD
"9,705",TN
"40,190",TX
"3,434",UT
"8,469",VA
602,VI
954,VT
"21,954",WA
"5,449",WI
"2,016",WV
751,WY
"643,668",Total
,
