value,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,784",AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,561",AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,936",AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,495",AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"113,952",CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,028",CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,450",CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7,748",DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41,542",FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16,521",GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,356",GU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6,918",HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,122",IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,104",ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,107",IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,971",IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,783",KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,089",KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,606",LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21,237",MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7,856",MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,726",ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,227",MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8,377",MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7,282",MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,226",MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,745",MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,491",NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,258",ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,026",NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,376",NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,671",NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,746",NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,556",NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"80,590",NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,823",OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,191",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,164",OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,333",PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,132",PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,190",RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,057",SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9,415",TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28,495",TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,081",UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7,020",VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,559",VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18,442",WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6,055",WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,013",WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"578,424",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
