value,code
-8.33%,AK
-2.73%,AL
-22.98%,AR
-0.63%,AZ
-3.88%,CA
2.81%,CO
0.05%,CT
12.86%,DC
-4.76%,DE
-13.21%,FL
-2.65%,GA
6.69%,GU
9.20%,HI
1.23%,IA
18.14%,ID
-2.37%,IL
-2.05%,IN
3.34%,KS
-2.97%,KY
-11.86%,LA
11.60%,MA
-4.25%,MD
-9.62%,ME
6.07%,MI
1.98%,MN
-15.14%,MO
-7.37%,MS
-7.08%,MT
-5.56%,NC
-39.20%,ND
-3.78%,NE
-4.91%,NH
-2.76%,NJ
-2.59%,NM
25.03%,NV
4.08%,NY
-4.07%,OH
-4.92%,OK
-12.00%,OR
1.64%,PA
0.10%,PR
-14.02%,RI
-22.72%,SC
-19.10%,SD
-1.19%,TN
-3.78%,TX
-5.98%,UT
-7.93%,VA
-7.05%,VI
7.22%,VT
3.84%,WA
-0.80%,WI
-10.13%,WV
-20.57%,WY
,Total
,
