value,code
36.68,AK
39.79,AL
40.84,AR
30.93,AZ
60,CA
29.53,CO
30.69,CT
36.95,DE
53.9,DC
47.64,FL
47.28,GA
82.2,HI
16.96,IA
36.4,ID
20.02,IL
14.57,IN
25.28,KS
16.68,KY
43.33,LA
5.01,MA
45.16,MD
26.38,ME
24.05,MI
17.86,MN
50.22,MO
21.13,MS
8.69,MT
22.72,NC
52.77,ND
10.14,NE
43.83,NH
57.41,NJ
40.8,NM
36.86,NV
12.49,NY
19.19,OH
31.1,OK
23.09,OR
20.98,PA
21.99,RI
39.3,SC
12.3,SD
27.82,TN
53.26,TX
21.43,UT
6.76,VA
38.83,VT
30.36,WA
7.33,WI
15.62,WV
16.33,WY
