State,ALL EMPLOYEES,Men,Women,WHITE,Men,Women,MINORITY,Men,Women,,,,,,,,
Alabama,100,55.76,44.24,63.32,37.93,25.39,36.68,17.83,18.85,,,,,,,,
Alaska ,100,58.87,41.13,60.21,37.06,23.15,39.79,21.81,17.98,,,,,,,,
Arizona,100,52.24,47.76,59.16,30.9,28.26,40.84,21.34,19.5,,,,,,,,
Arkansas,100,53.49,46.51,69.07,37.81,31.26,30.93,15.68,15.25,,,,,,,,
California,100,54.76,45.24,40,22.25,17.75,60,32.5,27.5,,,,,,,,
Colorado,100,53.69,46.31,70.47,37.93,32.54,29.53,15.77,13.77,,,,,,,,
Connecticut,100,49.62,50.38,69.31,35.17,34.14,30.69,14.46,16.23,,,,,,,,
Delaware,100,48.04,51.96,63.05,31.36,31.68,36.95,16.68,20.28,,,,,,,,
District of Columbia ,100,47.09,52.91,46.1,22.82,23.28,53.9,24.28,29.63,,,,,,,,
Florida,100,48.94,51.06,52.36,26.27,26.09,47.64,22.67,24.97,,,,,,,,
Georgia,100,51.9,48.1,52.72,29.5,23.22,47.28,22.39,24.89,,,,,,,,
Hawaii,100,50.17,49.83,17.8,9.4,8.4,82.2,40.77,41.43,,,,,,,,
Idaho,100,53.49,46.51,83.04,44.24,38.79,16.96,9.24,7.72,,,,,,,,
Illinois,100,51.74,48.26,63.6,33.5,30.11,36.4,18.24,18.16,,,,,,,,
Indiana,100,54.11,45.89,79.98,43.65,36.33,20.02,10.47,9.56,,,,,,,,
Iowa,100,53.48,46.52,85.43,44.96,40.47,14.57,8.52,6.05,,,,,,,,
Kansas,100,54.66,45.34,74.72,40.89,33.83,25.28,13.77,11.51,,,,,,,,
Kentucky,100,53.51,46.49,83.32,44.75,38.57,16.68,8.76,7.92,,,,,,,,
Louisiana,100,56.32,43.68,56.67,34.96,21.7,43.33,21.36,21.98,,,,,,,,
Maine,100,45.45,54.55,94.99,42.86,52.13,5.01,2.59,2.42,,,,,,,,
Maryland,100,50.26,49.74,54.84,28.66,26.18,45.16,21.6,23.56,,,,,,,,
Massachusetts,100,48.93,51.07,73.62,35.94,37.68,26.38,12.99,13.39,,,,,,,,
Michigan,100,53.13,46.87,75.95,41.44,34.51,24.05,11.69,12.36,,,,,,,,
Minnesota,100,50.77,49.23,82.14,41.36,40.78,17.86,9.41,8.45,,,,,,,,
Mississippi,100,52.83,47.17,49.78,28.65,21.13,50.22,24.18,26.04,,,,,,,,
Missouri,100,50.32,49.68,78.87,40.45,38.42,21.13,9.86,11.26,,,,,,,,
Montana,100,47.9,52.1,91.31,43.54,47.78,8.69,4.37,4.32,,,,,,,,
Nebraska,100,52,48,77.28,39.38,37.9,22.72,12.62,10.1,,,,,,,,
Nevada,100,53.36,46.64,47.23,26.44,20.79,52.77,26.92,25.85,,,,,,,,
New Hampshire,100,48.64,51.36,89.86,43.18,46.68,10.14,5.46,4.68,,,,,,,,
